field,angle,ik,ikprime,qx,qy,qz,t2_raw,t2_smoothed
2.0,29,5,9,0.07210131350467973,0.04162771276085242,4.3137303811065145e-18,0.008317170066786278,0.008378815587062606
2.0,29,5,10,-0.324455910771059,0.1873247074238361,2.5918211671005086e-17,5.309014787991035e-07,5.3090147320851e-07
2.0,29,5,11,-0.288405254018719,0.1665108510434098,2.3038410374226742e-17,3.3320526972815136e-05,5.032729776555843e-05
2.0,29,5,12,-0.324455910771059,0.22895242018468864,3.0954878158336694e-17,7.757796337368907e-05,9.225937518478398e-05
2.0,29,5,13,-0.288405254018719,0.20813856380426232,2.8075076861558344e-17,9.489390748081746e-06,1.3533021919747336e-05
2.0,29,5,14,-0.288405254018719,0.24976627656511474,3.311174334888993e-17,0.00010786896388563189,0.0001320248739098962
2.0,29,6,0,-0.03605065675233994,0.4370909839889509,5.324646617009432e-17,0.0037412670867566066,0.0034250798288819025
2.0,29,6,1,-5.551115123125783e-17,0.4162771276085247,5.036666487331598e-17,0.002125242341310504,0.0018430360269374923
2.0,29,6,2,0.036050656752339816,0.39546327122809843,4.748686357653764e-17,0.00027566733776633546,0.00023096089177158163
2.0,29,6,3,-6.938893903907228e-17,0.4579048403693771,5.5403331360647574e-17,0.008977638152980806,0.008896429647476762
2.0,29,6,4,0.036050656752339816,0.43709098398895085,5.252353006386923e-17,0.0037731824317103757,0.003803355774173742
2.0,29,6,5,-0.036050656752339885,0.02081385638042632,2.879801296778338e-18,0.04415104157653842,0.0447431038441389
2.0,29,6,6,0.0,0.0,0.0,0.08414771215893288,0.08415697911255784
2.0,29,6,7,-1.3877787807814457e-17,0.04162771276085253,5.0366664873316016e-18,0.04369275938878025,0.04388034560539804
2.0,29,6,8,0.036050656752339844,0.02081385638042632,2.1568651905532634e-18,0.0560903839169279,0.05611420075518607
2.0,29,6,9,0.036050656752339844,0.06244156914127874,7.193531677884853e-18,0.017559115235306556,0.017677411876138225
2.0,29,6,10,-0.3605065675233989,0.20813856380426243,2.8798012967783425e-17,6.484712993172754e-05,7.125541478150861e-05
2.0,29,6,11,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,3.965356060054143e-07,3.9653560145736693e-07
2.0,29,6,12,-0.3605065675233989,0.24976627656511496,3.383467945511503e-17,0.00010906349367971571,0.00010619240221437438
2.0,29,6,13,-0.3244559107710589,0.22895242018468864,3.095487815833668e-17,7.603860675197557e-05,8.153129863025788e-05
2.0,29,6,14,-0.3244559107710589,0.27058013294554106,3.599154464566827e-17,0.00011211275479638319,0.00010962740242352869
2.0,29,7,0,-0.03605065675233993,0.3954632712280984,4.820979968276272e-17,0.0002631266863200186,0.00019397444311135246
2.0,29,7,1,-4.163336342344337e-17,0.37464941484767217,4.532999838598438e-17,2.832387434847157e-07,2.8323874012422794e-07
2.0,29,7,2,0.03605065675233983,0.3538355584672459,4.245019708920604e-17,0.00023866061827348592,0.00016997009438103123
2.0,29,7,3,-5.551115123125783e-17,0.4162771276085246,5.036666487331597e-17,0.002151632452378863,0.0018530008361772657
2.0,29,7,4,0.03605065675233983,0.3954632712280983,4.748686357653763e-17,0.0003079616904577576,0.0002480909084677932
2.0,29,7,5,-0.03605065675233987,-0.02081385638042621,-2.1568651905532634e-18,0.03587760016286668,0.03583035598548013
2.0,29,7,6,1.3877787807814457e-17,-0.04162771276085253,-5.0366664873316016e-18,0.04369275938878025,0.043880345605398045
